Time,Sound
0,139.38638321995464
1,256.20961451247166
2,292.38766439909296
3,432.95969387755105
4,552.8900680272109
5,250.29931972789115
6,143.85416099773244
7,182.7650566893424
8,337.95719954648524
9,378.0083106575964
10,436.9441156462585
11,539.8808276643991
12,391.4407823129252
13,299.2937528344671
14,403.52797052154193
15,447.8663038548753
16,400.5604761904762
17,586.608820861678
18,589.9532426303855
19,474.95496598639454
20,307.2661904761905
21,483.8117800453515
22,469.09985260770975
23,473.1478117913832
24,492.2301814058957
25,996.4138548752834
26,750.2741383219955
27,669.3060204081632
28,781.7068367346939
29,533.803537414966
30,611.0207029478458
31,537.552596371882
32,886.0971768707483
33,573.6713378684807
34,822.1219841269841
35,587.5669274376418
36,601.1772448979592
37,504.6844671201814
38,583.7431065759637
39,237.92696145124717
40,519.13589569161
41,396.67609977324264
42,441.0439795918367
43,714.3948072562358
44,539.3893764172335
45,301.3642857142857
46,402.45190476190476
47,450.51920634920634
48,398.9536281179138
49,587.8417006802721
50,591.1313151927437
51,499.65290249433104
52,381.43472789115646
53,469.24920634920636
54,442.89867346938775
55,533.183469387755
56,596.1010997732426
57,554.8466326530612
58,298.361179138322
59,526.2872675736961
60,418.8063945578231
61,436.4354535147392
62,627.8712811791384
63,477.669126984127
64,203.33597505668934
65,253.3362244897959
66,302.1472789115646
67,432.225873015873
68,544.0225283446712
69,443.42179138321995
70,425.57142857142856
71,184.2984693877551
72,344.9714172335601
73,434.2192743764172
74,465.43557823129254
75,449.64820861678004
76,366.2963492063492
77,302.7847052154195
78,399.50574829931975
79,450.0660090702948
80,398.4639342403628
81,585.9702040816327
82,460.2259750566893
83,473.64549886621313
84,307.435283446712
85,485.9506916099773
86,421.24080498866215
87,515.0806802721088
88,484.5582879818594
89,923.3578344671201
90,743.1145351473923
91,671.1504535147392
92,774.155260770975
93,529.4339229024944
94,645.1187301587302
95,617.0619274376418
96,870.3156349206349
97,688.7556575963719
98,824.8024829931973
99,606.7896258503401
100,597.7284807256236
101,618.1415306122449
102,589.4771201814059
103,379.21230158730157
104,618.4303854875284
105,412.55972789115646
106,375.57202947845803
107,288.1427777777778
108,184.19861678004534
109,59.439036281179135
110,71.1907709750567
111,45.293945578231295
112,41.69777777777778
113,30.821179138321995
114,18.011814058956915
115,7.924557823129252
116,1.0837868480725623
117,0.0
118,0.0
119,0.0
120,0.0
